RepRapFirmware height map file v2 generated at 2022-06-17 00:00, min error -0.371, max error 6.541, mean 3.115, deviation 1.701
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
15.00,2340.00,15.00,1744.00,-1.00,200.00,200.00,12,9
  0.012, -0.308, -0.079, -0.121, -0.371, -0.198, -0.285, -0.090,  0.219,  0.259,  0.136,  0.229
  2.033,  1.517,  1.419,  1.486,  1.341,  1.456,  1.729,  2.116,  2.415,  2.486,  2.453,  2.733
  3.568,  2.736,  2.403,  2.243,  2.266,  2.722,  3.153,  3.416,  3.616,  3.551,  3.622,  3.960
  4.250,  3.217,  2.861,  2.854,  3.291,  3.902,  4.416,  4.728,  4.599,  4.406,  4.346,  4.434
  5.034,  3.928,  3.398,  3.397,  3.798,  4.574,  5.117,  5.359,  5.357,  4.960,  4.841,  4.843
  5.639,  4.405,  3.663,  3.504,  3.877,  4.602,  5.177,  5.326,  5.216,  4.911,  4.697,  4.775
  6.541,  5.037,  4.420,  4.033,  4.127,  4.634,  5.017,  5.020,  4.763,  4.529,  4.622,  4.835
  6.015,  4.381,  3.790,  3.385,  3.112,  3.309,  3.362,  3.493,  3.416,  3.055,  3.443,  3.820
  3.402,  1.931,  1.387,  1.279,  1.171,  1.136,  1.060,  1.160,  1.017,  0.804,  1.006,  1.359
