RepRapFirmware height map file v2 generated at 2023-08-22 18:25, min error -0.230, max error 4.348, mean 2.446, deviation 1.181
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
15.00,1450.00,15.00,1864.00,-1.00,193.00,193.00,8,10
  0.011, -0.087, -0.115, -0.194, -0.100, -0.174, -0.230, -0.080
  1.461,  1.232,  1.418,  1.300,  1.255,  1.447,  1.360,  1.507
  2.699,  2.229,  2.302,  2.528,  2.144,  2.589,  2.510,  2.516
  3.304,  2.753,  2.907,  3.026,  2.669,  3.197,  3.050,  3.003
  3.529,  3.076,  3.289,  3.686,  2.977,  3.543,  3.375,  3.370
  3.690,  3.277,  3.578,  4.039,  3.272,  3.714,  3.658,  3.639
  3.588,  3.203,  3.489,  4.348,  3.002,  3.637,  3.484,  3.432
  3.466,  3.071,  3.415,  3.947,  2.770,  3.302,  3.228,  3.220
  2.723,  2.479,  2.781,  3.233,  2.247,  2.693,  2.520,  2.683
  1.500,  1.237,  1.402,  1.623,  1.078,  1.302,  1.130,  1.331
