RepRapFirmware height map file v2 generated at 2023-08-23 14:42, min error -0.491, max error 4.630, mean 2.495, deviation 1.278
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
10.00,1450.00,10.00,1864.00,-1.00,193.00,193.00,8,10
 -0.069, -0.299, -0.323, -0.268, -0.354, -0.481, -0.491, -0.288
  1.586,  1.247,  1.412,  1.472,  1.137,  1.275,  1.229,  1.392
  2.819,  2.268,  2.439,  2.870,  2.123,  2.530,  2.488,  2.551
  3.429,  2.843,  2.990,  3.365,  2.686,  3.185,  3.097,  3.091
  3.690,  3.217,  3.440,  3.949,  2.931,  3.585,  3.417,  3.415
  3.857,  3.413,  3.648,  4.323,  3.211,  3.723,  3.693,  3.723
  3.731,  3.355,  3.663,  4.630,  3.059,  3.660,  3.592,  3.574
  3.557,  3.175,  3.542,  4.196,  2.777,  3.389,  3.392,  3.412
  2.769,  2.562,  2.844,  3.374,  2.212,  2.724,  2.639,  2.778
  1.482,  1.243,  1.418,  1.661,  1.057,  1.341,  1.205,  1.410
