RepRapFirmware height map file v2 generated at 2023-08-23 14:55, min error -0.536, max error 4.582, mean 2.462, deviation 1.279
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
10.00,1450.00,10.00,1864.00,-1.00,193.00,193.00,8,10
 -0.221, -0.416, -0.421, -0.339, -0.367, -0.499, -0.536, -0.331
  1.563,  1.167,  1.337,  1.439,  1.095,  1.318,  1.275,  1.427
  2.779,  2.222,  2.373,  2.839,  2.098,  2.545,  2.483,  2.555
  3.384,  2.803,  2.970,  3.280,  2.648,  3.180,  3.084,  3.089
  3.647,  3.174,  3.373,  3.880,  2.916,  3.469,  3.347,  3.399
  3.787,  3.344,  3.602,  4.261,  3.233,  3.709,  3.667,  3.693
  3.688,  3.310,  3.607,  4.582,  3.045,  3.654,  3.541,  3.549
  3.509,  3.140,  3.483,  4.140,  2.785,  3.397,  3.403,  3.412
  2.686,  2.500,  2.786,  3.339,  2.202,  2.704,  2.638,  2.779
  1.460,  1.211,  1.353,  1.633,  1.057,  1.363,  1.219,  1.436
