RepRapFirmware height map file v2 generated at 2023-08-23 15:01, min error -0.531, max error 4.552, mean 2.451, deviation 1.268
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
10.00,1450.00,10.00,1864.00,-1.00,193.00,193.00,8,10
 -0.189, -0.394, -0.415, -0.342, -0.366, -0.486, -0.531, -0.331
  1.544,  1.144,  1.330,  1.375,  1.118,  1.274,  1.230,  1.413
  2.763,  2.204,  2.327,  2.810,  2.114,  2.526,  2.463,  2.528
  3.355,  2.756,  2.934,  3.272,  2.659,  3.159,  3.049,  3.077
  3.609,  3.155,  3.357,  3.847,  2.909,  3.453,  3.363,  3.390
  3.761,  3.319,  3.528,  4.270,  3.214,  3.694,  3.647,  3.659
  3.649,  3.292,  3.537,  4.552,  3.037,  3.618,  3.549,  3.546
  3.473,  3.106,  3.446,  4.102,  2.754,  3.379,  3.389,  3.412
  2.707,  2.488,  2.777,  3.341,  2.190,  2.739,  2.657,  2.833
  1.458,  1.272,  1.367,  1.657,  1.066,  1.392,  1.259,  1.460
